web-scraper-order,web-scraper-start-url,subsite_link,subsite_link-href,label,label-des,title,Des,services,services-href,service-name,desription,sub-services,sub-services-href,inner-content
"1717287925-1","https://u.ae/en/information-and-services#/","Handling emergencies","https://u.ae/en/information-and-services/justice-safety-and-the-law/handling-emergencies","","[]","","[]","","","","","","",""
"1717287933-2","https://u.ae/en/information-and-services#/","Learn more","https://services.government.ae/nbb/#/","","[]","","[]","","","","","","",""
"1717287938-3","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Smart payment channels","https://u.ae/en/more/service-channels-and-modes-of-payment/payment-channels","Smart payment channels","To ease payment of fees for government services, the UAE Government provides multiple payment options. Besides cash payment over the counter, most federal ministries and local entities facilitate electronic payment and mobile payment in a secure cyber environment. This page covers the various payments options.","","",""
"1717287938-4","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Smart payment channels","https://u.ae/en/more/service-channels-and-modes-of-payment/payment-channels","","To ease payment of fees for government services, the UAE Government provides multiple payment options. Besides cash payment over the counter, most federal ministries and local entities facilitate electronic payment and mobile payment in a secure cyber environment. This page covers the various payments options.","","","DubaiPay  app
                            DubaiPay app enables service providers and government agencies to offer 24/7 payment facility to their customers."
"1717287938-5","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Smart payment channels","https://u.ae/en/more/service-channels-and-modes-of-payment/payment-channels","","To ease payment of fees for government services, the UAE Government provides multiple payment options. Besides cash payment over the counter, most federal ministries and local entities facilitate electronic payment and mobile payment in a secure cyber environment. This page covers the various payments options.","","","Online payment 
                            Most government entities in the UAE have an online channel for payment of their services. A customer can apply to services online and pay for them via the same website or dedicated emirates’ government portal. A customer can pay electricity and water bills, traffic fines, etc.
 
Mobile payment  
While the UAE Government is going smart, it has introduced several mobile applications for payment of government services. Some of these applications are specialised for payment and others include payment channels integrated into their platforms. By using these applications, customers can pay their bills and service fees from home. All the apps are available on an app available on iTunes.
 
DubaiNow app
DubaiNow app enables you to access Dubai services from over 30 government and private sector entities in Dubai. It allows you to pay your bills, traffic fines, recharge Salik and Nol, renew your car registration, apply for a residency and more."
"1717287938-6","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Smart payment channels","https://u.ae/en/more/service-channels-and-modes-of-payment/payment-channels","","To ease payment of fees for government services, the UAE Government provides multiple payment options. Besides cash payment over the counter, most federal ministries and local entities facilitate electronic payment and mobile payment in a secure cyber environment. This page covers the various payments options.","","","Electronic payment
                            There are several tools and methods to implement ePayment for government services. 
 
Payment cards for transportaion
Hafilat card
In Abu Dhabi, you can pay for public bus fares by Hafilat card. You need to load it with money and swipe it before and after every trip. The fare is calculated automatically based on the distance of the passenger's journey. Weekly and monthly passes are also available. 
 
Mawaqif 
In Abu Dhabi, you can pay for public parking fares by Mawaqif card. These cards also need to be pre-loaded with currency and swiped at the parking fees’ kiosk for getting a ticket. These cards are rechargeable. 
 
Nol card
In Dubai, you can pay for all public transport including bus, metro, waterbus, water taxi, abras, tram and even for public parking with Nol card. Nol is a smart card. You can add certain balance or recharge it via the RTA’s applications or at the smart kiosks present at bus and metro stations. Check the types of Nol card and how to obtain them. 
 
In addition, there is a Smart Nol card which enables payments through NFC.
 
Sayer card
In Sharjah, you can pay for public bus fares by Sayer card. You can get Sayer card from the vending machine at Jubail Bus Terminal or from the driver on the Mowasalat buses.
 
RTA eWallet
In May 2013, Roads and Transport Authority launched eWallet; it's an online account through which one can make secure online payment.
 
RFID
Radio Frequency Identification (RFID) is in use to levy road toll Salik in Dubai since July 2007. You do not need to stop your car at any toll point to pay the road toll. When your vehicle passes through a Salik toll point, RFID scans the Salik tag attached to your vehicle windshield, which is connected to your prepaid Salik toll account and automatically deducts the toll amount. 
 
Credit and debit cards
Government service providers accept credit cards as a means of payment for service provided to the public. You can pay by credit card via counters or online to get the government service. Most banks in the UAE enable their customers to pay government fees directly through direct debit from bank accounts instead of credit cards.
 
Electronic kiosks 
Several government service providers install electronic kiosks in malls, business centres and other public places for payment of bills and other service charges. To pay via electronic kiosks, you need to provide account details and follow the steps required to finish the transaction."
"1717287938-7","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Smart payment channels","https://u.ae/en/more/service-channels-and-modes-of-payment/payment-channels","","To ease payment of fees for government services, the UAE Government provides multiple payment options. Besides cash payment over the counter, most federal ministries and local entities facilitate electronic payment and mobile payment in a secure cyber environment. This page covers the various payments options.","","","Updated on 03 May 2023"
"1717287940-8","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","Service channels","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","",""
"1717287940-9","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Apps
                            Many local government entities have launched apps to deliver their services through smartphones, smart tablet computers, smart wearables and smart TV. Find centralised applications to get the services of the local governments:

    TAMM, a unified app for Abu Dhabi government services, available on Google Play and App Store
    DubaiNow, a unified app for Dubai government services, available on Google Play and App Store
    Digital Sharjah app, a unified app for Sharjah government services, available on Google Play and App Store
    AjmanOne, a unified app for Ajman government services, available on Google Play and App Store
    SmartUAQ, a unified app for Umm Al Quwain government services, available on Google Play and App Store 
    mRak, a unified app for Ras Al Khaimah government services, available on App Store
    Digital Fujairah, a unified app for Fujairah government services, available on App Store.

 
Note: To access government services online, you must first register in UAE Pass app.  By downloading the app and creating an account on UAE Pass, the user will have a single digital identity across both local and federal government entities, in addition to various other service providers. The app is available on iTunes and Google Play. 
 
Use UAE Mystery Shopper app to rate your experience with our services. The app can be downloaded from Google Play and App Store.
 
Related links

    Digital Dubai apps and services."
"1717287940-10","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Services through WhatsApp
                            To provide citizens and residents with convenient and efficient access to government services across various sectors, including health, the UAE Government uses WhatsApp. By leveraging WhatsApp, the UAE Government is making it easier for residents to access government services and stay informed on the latest developments, improving the overall citizen experience, streamlining government operations and reducing costs.
 
Access the following government services through WhatsApp:

    Tawasul – the federal customer relationship management system – WhatsApp number: +97147771777
    Ministry of Human Resources and Emiratisation - WhatsApp number: 6005-9000-0
    Department of Municipalities and Transport, Abu Dhabi - WhatsApp number: +9712-6788-888
    Ministry of Health and Prevention - WhatsApp number: +9714-2301-221
    Book a Doctor’s Appointment in Abu Dhabi - WhatsApp number: +9716-0050-2000
    Dubai Electricity and Water Authority – WhatsApp number: +9714-601-9999
    Dubai Health Authority – WhatsApp number: 800342 (DHA)
    Roads and Transport Authority, Dubai – WhatsApp number: +97158-8009-090."
"1717287940-11","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Official portals
                            The UAE is focusing on rechanneling its public services to be delivered totally online. UAE Government services are available on the following portals:

     U.ae – The official portal of UAE Government
    Government services round the clock
    TAMM-Abu Dhabi Government Services
    Services 1 centre
    Digital Dubai
    Dubai City services
    Digital Sharjah
    The official portal of Ajman Government
    The official portal of Umm Al Quwain
    The official portal of Ras Al Khaimah Government
    The official portal of Fujairah Government.

 
Check for more services on UAE federal and local government entities' websites."
"1717287940-12","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Mobile customer happiness centres
                            RTA mobile customer happiness centres
Roads and Transport Authority (RTA) in Dubai allocated mobile vehicles to deliver instant services to end-users in 14 geographical districts in Dubai.
Through a coach fitted with self-service machines, the mobile customer happiness centre will deliver vehicle licensing, driver’s licensing and parking cards services.
If needed, RTA coach will help senior Emiratis, people of determination and expatriate residents.
Customers are notified via text messages, website and social media about the location of the centre in each district. 
 
MoHRE Taw-seel service centres
Ministry of Human Resources & Emiratisation (MoHRE) offers mobile service centres at the location and time preferred by the customer to deliver labour and employment services. Read about 'Tawseel' service"
"1717287940-13","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Customer happiness centres
                            Almost all entities offer their services through customer happiness centres that usually are open from Monday to Friday.
 
Most government entities allocate a call centre which works 24/7 to answer and redirect customers queries."
"1717287940-14","https://u.ae/en/information-and-services#/","Learn more","https://u.ae/en/more/service-channels-and-modes-of-payment","","[]","","[]","Service channels","https://u.ae/en/more/service-channels-and-modes-of-payment/service-channels","","The services of the UAE Government are accessible through many online and offline channels. This page covers information about these channels. Note that payment for services can be made through all these channels.","","","Typing centres
                            Tasheel centres carry on tasks related to labour applications and approvals. 
 
In addition, approved typing centres by General Directorate of Residency and Foreigners Affairs in Dubai are processing all visa applications under the ‘New Vision System’, Amer"
